0.6, 0.1, 16.1
1.1, 0.7, 27.2
0.7, 0, 6.4
0.5, 0.2, 8.3
1, 1, 32.3
0.9, 0.7, 22.5
1.1, 0.8, 28.7
0.5, 0, 15.5
0.3, 0.6, 6.9
0.7, 0, 12.5
0.5, 0.4, 31.8
0.6, 1.1, 26.2
0.5, 0.3, 25.3
2, 0, 20.1
0.8, 0.1, 13.3
0.8, 1, 23.4
0.3, 0, 7
1.2, 1.3, 31.1
0.8, 0.2, 24.7
1.3, 0, 25.7
0.9, 0.6, 23.5
0.3, 1, 20.3
0.7, 0.2, 4.7
0.3, 0.3, 17.9
1.3, 0.5, 34
0.1, 0.1, 14
0.1, 0.2, 16.2
1, 0.4, 17
0.1, 0.2, 18
0.3, 0.1, 28.6
1.3, 0, 23.7
1.7, 0.3, 31.3
0.2, 0.3, 15.3
0.8, 0.1, 25.1
0.2, 1.1, 17.1
1.4, 0, 24.5
0.1, 1, 20.8
0.2, 0.2, 18.5
0.4, 0.1, 25.2
0, 0.2, 18.9
1, 0.1, 31.2
0, 0, 4.9
0, 0, 18.6
1, 0.2, 16.3
0.3, 0.3, 35.9
0, 0.3, 10
0.1, 0.1, 8.1
0, 0, 2.7
0, 0.7, 26.5
1, 1, 35.1
0, 0, 1.2
2, 0.3, 33.3
0.5, 0.4, 18.5
0.5, 0.1, 18.9
0.8, 0.1, 11.7
0.8, 0, 15
0.5, 0, 22.6
1, 0.6, 32.2
0, 0.3, 9.5
0.4, 0.2, 19
0.5, 0, 7.5
0.2, 0.1, 12.2
1, 0.4, 19.9
0, 0.3, 10.3
0, 0, 3.2
1.7, 0.6, 20.3
1.4, 0.1, 28.4
0, 0.7, 10.3
0.2, 0.3, 20
0, 0, 4.7
1, 1.4, 17.5
1.2, 1.3, 21.4
1.6, 1.5, 19.2
0.5, 0.4, 16.1
0.8, 0.2, 23.8
1.3, 0.6, 31.8
0.1, 0.9, 17.5
1.2, 0.1, 33.7
0.8, 0.1, 21.7
1, 2, 42.4
0.6, 0.4, 33.5
0.6, 0, 11.2
0, 0, 4.9
1.4, 0.8, 24.6
0.4, 0.2, 34.4
0.2, 1, 21.4
1, 0.1, 33.8
0.3, 0.3, 10.6
0.3, 0.2, 13.7
0.9, 1, 25.3
0.6, 2.3, 29.9
1, 0, 33.5
2.8, 2, 32.7
2, 0.3, 17.3
0.8, 0.6, 22
0.8, 0.1, 18.4
0.7, 0, 34
1.1, 1.1, 28.5
0.8, 0.2, 29.6
0.3, 0, 25.5
0.8, 0.7, 35.3
1.2, 0.1, 24.9
0.6, 0, 14.6
0.3, 1, 13.8
1.4, 0.4, 26.5
1, 0.2, 32.3
0.1, 0.1, 19.9
0.7, 0.1, 15.2
0.1, 0, 21.9
1.6, 2, 35.8
0.5, 0.5, 3.9
1, 0, 24.2
0.5, 1.9, 28.2
0.4, 0.4, 10
1.1, 0.6, 31
1, 0.8, 26.3
0.9, 1.4, 21.1
1.1, 0.3, 29.8
0.5, 0.5, 16.5
0.7, 0.3, 30.3
0.6, 0.3, 23.3
0, 0, 7.7
0.3, 0.8, 24.4
1, 0, 33.8
1.1, 0.4, 31.9
0.2, 0.2, 10
0.4, 0.4, 22
0.9, 0.2, 19.9
1, 0.3, 30.3
0.7, 0.2, 29.3
1, 0, 15.9
1, 0.1, 22.9
1.2, 1.8, 35.2
0.2, 0.2, 9.7
0.9, 0.6, 32.5
1.1, 0.7, 36.9
0.9, 1, 25.1
1, 0.6, 24.6
0.4, 0, 10
0.4, 0, 14.1
0.3, 0, 33.9
0.8, 3.3, 30.3
0.7, 1, 21
0.7, 0.6, 29
0.4, 0.3, 8.7
0.7, 1, 26.9
1, 0.4, 26.8
0.5, 0.3, 27.6
0.8, 0.3, 30.3
1, 0.9, 35.8
0.8, 0, 28.2
0.3, 0.3, 11.1
0.3, 0.1, 23.3
0.6, 0.2, 31.3
0.6, 1, 19.9
0.8, 0.7, 24
0, 0, 7.7
0.8, 0, 35.9
1.3, 0.4, 29.3
1.1, 0.3, 29.3
0, 0, 7.1
0.9, 0.6, 24.5
1.3, 0.3, 31.3
1.3, 0.6, 40.5
0.3, 0, 20.4
0.5, 0.3, 11
0.3, 0.8, 6.2
0, 0, 1.8
0, 0, 15
1.1, 0.3, 18.1
0.8, 0.1, 19.9
0.6, 0, 9.7
0.3, 0.3, 15.3
0.4, 1.5, 15.8
0.4, 0.1, 16.7
0.1, 0.6, 13.8
0, 0, 9.6
0.7, 0.6, 25.6
1, 0.4, 30.4
0.2, 0.5, 9.3
0.7, 1.7, 27.1
0.3, 0.8, 14.2
1.4, 0.3, 28.6
1.1, 0.2, 23.8
1.3, 0.7, 21.7
1.2, 0.7, 35.6
0, 0, 26.5
1.1, 0, 19.3
0.9, 0, 32.4
0.4, 0, 8.7
0, 4, 14.6
0.1, 0.4, 20.1
0.3, 1.7, 18
0.6, 0.1, 14.2
1.2, 1, 36.1
0.1, 0.1, 15.6
0.8, 0.3, 16.6
0.4, 0.5, 18.1
0.4, 2.1, 26.5
0.7, 0, 20.2
1.2, 0, 33.8
1.2, 0.2, 23.8
0.8, 0.3, 27.9
0.2, 0.4, 13
0, 0, 12.1
0, 0, 5.1
0, 0, 6.5
1, 0, 23.5
0.3, 0.5, 12.5
0.4, 0, 14.2
0.7, 0.6, 32.4
1.2, 0.2, 16.7
4, 0, 34.2
0.8, 0.2, 30.2
0.7, 1.1, 25.9
0.9, 0.5, 20.8
0.8, 0.1, 27.2
1.1, 1.9, 25.5
0.4, 0.1, 10.5
0.8, 1.4, 34.5
2, 1.7, 35.5
0.7, 0.2, 18.8
0.3, 0.1, 14.3
1.3, 0.7, 33
0.4, 0.1, 12.9
0.1, 0.5, 17.4
0.7, 1, 21.6
2, 1, 28.3
1.2, 0, 36.1
1.1, 0.6, 34.7
0.4, 0.2, 29.3
0.8, 0.1, 19.2
0.1, 0.9, 12.6
1.7, 0.4, 31.2
0, 0, 6.2
0.6, 0.8, 35.5
1.3, 0.1, 25.3
0.8, 1.3, 24.6
0.4, 0.1, 12.5
1, 2, 36.9
1.7, 0.1, 23.9
0, 0.5, 30.6
1.1, 0.4, 35
0.1, 1.1, 15.1
0.5, 0.2, 14.7
1.6, 0.9, 34.2
1.1, 0.7, 31.4
0.7, 0.3, 27.4
1.6, 0.3, 25.3
1.5, 0.5, 21.9
0.3, 0.2, 18.6
1.4, 1, 35.8
0.7, 0.1, 17.7
0.3, 0, 5.2
0.3, 0, 18.3
0.9, 0.1, 18.7
0.6, 1, 12.7
0, 0, 3.8
0.4, 0.4, 14.8
0.4, 0.2, 30.1
0.9, 0.5, 34.9
1.8, 0.4, 20.8
0.6, 0, 24.3
0.4, 1.1, 28.1
0.9, 0.6, 36.1
1, 0.5, 28.8
1, 0, 16.2
1.3, 0.5, 25.7
1.2, 0.8, 24.3
0.4, 1, 29.9
0.4, 0.6, 11.7
0.9, 0.8, 27.6
1.2, 1.2, 25.1
0.9, 0.2, 34.5
0.1, 0.1, 10.6
0.2, 0.2, 20.3
1.1, 1, 27.7
0.4, 0.2, 17.3
0.5, 0.4, 18.3
0.6, 0.6, 19.7
0.7, 0, 10.3
0, 0.8, 7
0.1, 0.2, 14.9
0.6, 0.5, 20.2
0.9, 0.1, 30.1
0.5, 0, 9.4
1.6, 0.3, 28.5
0, 1, 7.3
0.6, 1.2, 21.1
0, 0, 5.5
0.5, 0.5, 22.1
0.8, 0.6, 20.9
2.2, 1.6, 32
0.4, 0.4, 12.7
0.7, 0.1, 29.1
0.6, 0.1, 32.2
0.8, 0.8, 27.3
1.3, 0.7, 29.9
1, 1, 27.4
0.3, 0.7, 11.3
1.3, 0.3, 30.6
0.4, 0, 17.1
0.3, 0.3, 21.8
0.9, 0.5, 28.4
0.5, 0, 15.6
1.4, 0.1, 34
1.1, 0, 21.4
0, 0, 6.5
1.2, 0.5, 31.7
1, 0.8, 27.7
0.6, 0.1, 21.6
0.6, 2.5, 32.4
1.9, 0.4, 31.2
1.9, 3.6, 33.7
0.8, 0.2, 21.2
0.8, 0.6, 19.8
0.2, 0, 5.6
2.3, 0, 33.2
0, 0, 6.1
0.6, 0, 24.7
0.4, 0.6, 20.1
1.2, 0.8, 30.1
0.7, 0, 13.4
0.3, 0, 18.4
0.9, 0.3, 29.3
0.3, 0.2, 17.4
0.5, 0.4, 31.1
0.8, 0.1, 19
0, 1, 6.4
2.6, 0.2, 28.5
1.7, 0.3, 33.8
0.4, 0, 12.4
0.1, 2.2, 29.8
1, 0.3, 34.5
0.7, 0.1, 18.8
1, 1.1, 21.3
1.8, 0.2, 26.2
0.5, 1.5, 22.1
2.1, 1.1, 34.5
0.4, 2.4, 29.4
1.6, 0, 33.1
0.4, 0.4, 7.7
0.4, 0.2, 14.6
0.3, 1.3, 15.1
0.3, 0.5, 7.7
0.8, 0.2, 24.5
0.7, 0.1, 26.8
0.3, 1.4, 30
0, 0, 17.8
0.9, 0, 30.1
0.3, 0, 21
0, 0, 6.7
1.6, 0.2, 30.9
0.6, 0.4, 21.1
0, 0, 13.8
0.6, 0.2, 34.1
1.4, 0.1, 24.9
0, 0, 6
0.3, 0, 16.2
0.1, 0.8, 13.4
0.8, 0.1, 19.8
2.4, 0.1, 35.9
0.6, 0.2, 18.8
0.8, 1.1, 28.4
1, 0.1, 19.5
0, 2, 20.8
0.4, 0.6, 16.7
0.4, 0, 14.5
0, 0, 5.5
0.7, 0.1, 23
0.4, 0, 12.8
0.8, 0.2, 21.5
2, 0.5, 29.4
1.1, 0.1, 25.7
0.2, 1.7, 27.8
1.8, 0.1, 31
0.2, 0.2, 18.2
0, 1, 17.7
0.8, 0.8, 34.1
1.1, 0, 32.2
2, 0.4, 23.6
0.8, 0, 29.3
0.5, 0.5, 34.7
1.3, 0.5, 36.4
0.3, 0.7, 18.1
0, 0, 9.8
0.9, 0.1, 24.7
0.9, 1.1, 25.4
0.5, 0, 15.9
0.7, 0.1, 20.6
1.2, 0, 27.8
0, 0, 4.4
0, 0.7, 12.5
0.6, 1, 31.3
1.3, 0, 18.6
0, 0, 5.5
2.3, 1.5, 34.3
0.5, 0.1, 21.1
0.7, 0.2, 23.6
1.3, 1.3, 24.5
1.3, 0.2, 37.9
0.9, 0.7, 29.6
1.3, 1, 30.4
0, 1, 12.3
0.9, 0.3, 20.1
1.2, 0.4, 31.3
0.9, 0.1, 29.9
0.6, 0.3, 22.6
